,idiom,meaning,example,idiomatic_part
17,stand your ground,Meaning: not retreat,"Example: We stood our ground on the footpath, and then eventually, all the cows moved away. Read on",stood our ground
18,outside the lines,Meaning: not sticking to the rules,Example: I never thought they would be allowed to do their duties outside the lines. Read on,outside the lines
19,halfway house,"Meaning: mid-point in recovery, treatment, or progress",Example: Frank has gone into a halfway house after 27 years in prison. Read on,halfway house
20,not believe eyes,Meaning: shock or surprise at something you see or hear,Example: My fiancé is with someone else - I can't believe my eyes. Read on,I can't believe my eyes
21,spick and span,Meaning: neat and clean,Example: The house was spick and span when the guests arrived. Jane must have been cleaning for hours. Read on,spick and span
22,come to think of/about it,Meaning: something that has just occurred to us as we speak,"Example: Come to think of it, add potatoes and carrots to the list. Read on",Come to think of it
23,worm in the apple,Meaning: the presence of something very bad in the best,Example: There's nothing worse than getting a worm in your apple! Read on,worm in your apple
24,without further ado,Meaning: no fuss or ceremony,"Example: Steve is very organised and friendly. When we met him last week, he introduced us all to the team without further ado. Read on",without further ado
25,Dutch uncle,"Meaning: criticize, scold or lecture someone","Example: I thought he would approve of my choices, but he ranted on like a Dutch uncle for a whole hour. Read on",Dutch uncle
26,king of the hill,Meaning: be the undisputed champion,"Example: He made £3 million before he was 30, so he is the king of the hill in this industry. Read on",king of the hill
27,backroom boy(s),Meaning: people who work in anonymity,Example: They left the technical problems for the back-rooms boys. They will make short work of it all. Read on,back-rooms boys
28,end up,Meaning: reach a particular place or condition,Example: They ate so much that they ended up feeling ill for the rest of the day. Read on,ended up
29,buffer zone,Meaning: neutral zone between two or more areas,Example: The council proposed to plant some parkland as a buffer zone between the industrial estate and the new housing project. Read on,buffer zone
30,call on,"Meaning: use courage, reserve, nerve or strength to achieve something",Example: He had to call on all his strength to get to the finals. Read on,call on
31,turn aside,Meaning: refuse entry to somewhere,Example: His job application was turned aside when they saw his criminal record. Read on,turned aside
32,out of hand,Meaning: out of control,"Example: When the police arrived, they realised the party was getting out of hand. Read on",out of hand
33,rabbit hole,Meaning: mentally go somewhere surreal or strange,Example: Peter is having another one of his parties on Friday. Time to go down the rabbit hole again. Read on,go down the rabbit hole
34,bang for the buck,Meaning: more value for money,"Example: We tried that new Indian restaurant last night. The food was excellent, and the prices weren't too bad either, so we got a lot of bang for our bucks. Read on",bang for our bucks
35,get rid of,Meaning: to remove something or someone,"Example: He finally got rid of the door to door salesman, by saying he had to go out. Read on",got rid of
36,pay lip service,Meaning: to agree by word of mouth only,"Example: He paid lip service to the cause, but he hasn't lent a hand yet. Read on",paid lip service
37,two peas in a pod,Meaning: practically identical in appearance,"Example: Those boys could be twins, they are like two peas in a pod. Read on",two peas in a pod
38,fan the flames,Meaning: make a bad situation even worse,Example: The president's racist comments are really going to fan the flames of hatred among the crowd. Read on,fan the flames
39,a hard nut to crack,Meaning: a problem that is difficult to solve,Example: She's such a tough nut to crack. Nobody seems to be able to get through to her. Read on,a tough nut to crack
40,turn against,Meaning: to change from supporting something to opposing it,Example: A section of his supporters turned against him when they heard his latest speech on immigration. Read on,turned against
41,fight tooth and nail,Meaning: to fight very fiercely,Example: I want this job so I'm going to fight tooth and nail for it. Read on,fight tooth and nail
42,Herculean task,Meaning: a task requiring huge amounts of physical strength,"Example: It will be a Herculean task to get through to the quarter-finals, but this untested team is up for the challenge. Read on",Herculean task
43,call of duty,Meaning: something you must do or feel compelled to do,Example: Both of my grandfathers felt it was their call of duty to enlist immediately for active service when the war broke out. Read on,call of duty
44,knotty problem,Meaning: difficult or complex problem,Example: The accountant always found the end of the tax year to be a knotty problem. Read on,knotty problem
45,when life gives you lemons,Meaning: make the best out of a difficult situation,"Example: She tried to live by the motto 'when life gives you lemons, make lemonade.' Read on","when life gives you lemons, make lemonade"
46,topsy-turvy,Meaning: with the top at the bottom,Example: Everything has been topsy-turvy since we moved in. I can't find anything until I unpack properly. Read on,topsy-turvy
47,goose egg,Meaning: zero,"Example: We had a good game, but the score was goose egg. Read on",goose egg
48,keep promise,Meaning: be faithful to your word,Example: How on earth can I marry him when he can't keep his promises? Read on,keep his promises
49,in light of,Meaning: because of,"Example: In light of what happened last week, please take care on the escalators. Read on",In light of
50,old school,Meaning: old fashioned ideas or approach compared to current trends,"Example: Dress smart when you come round for dinner, my father is a bit old school. Read on",old school
51,bite head off,Meaning: overreact in an angry or harsh way,Example: His mother nearly bit his head off when he got his new shoes dirty. Read on,bit his head off
52,prevention is better than cure,Meaning: easier to stop problems than correct them later,Example: It is good to keep vaccinations up to date as prevention is better than cure. Read on,prevention is better than cure
53,in the loop,Meaning: to be aware of the information,Example: Katy was always happy that her friends kept her in the loop with the latest gossip. Read on,in the loop
54,pipe dream,Meaning: an impossibility,"Example: His plans of becoming an astronaut are a pipe dream, he should be more realistic. Read on",pipe dream
55,fair and square,Meaning: done according to the rules,Example: The supporters for the other team were angry but we won the game fair and square. Read on,fair and square
56,ahead of the curve,Meaning: better than others,"Example: His ideas are so innovative, he is way ahead of the curve. He might end up running the company at this rate. Read on",ahead of the curve
57,does exactly what it says on the tin,Meaning: someone or something is exactly as they seem,"Example: This medicine does exactly what it says on the tin, because I feel so much better. Read on",does exactly what it says on the tin
58,home is where the heart is,Meaning: a place you feel connected to emotionally,"Example: No matter where I go, it's always so lovely to come back here. Home is where the heart is after all. Read on",Home is where the heart is
59,sticky fingers,Meaning: keep objects that don't belong to you,"Example: Money had started disappearing from the treasury coffers so, they realised that someone had sticky fingers. Read on",sticky fingers
60,apple pie order,Meaning: neat and tidy in the arrangement,Example: My mother is always cleaning. The house is in apple-pie order. Read on,in apple-pie order
61,on a tear,Meaning: very active or suddenly active,"Example: Peter called to say he was getting an earlier train so, I been on a tear to get to the station in time. Read on",on a tear
62,the smell of an oily rag,Meaning: a slim or frugal amount  ,"Example: When we were students, we didn't have much money and we got by on the smell of an oily rag most days. Read on",the smell of an oily rag
63,bring owls to Athens,Meaning: something that is pointless,"Example: The chancellor has a plan to increase taxes, thinking that this would improve the economy. It would bring owls to Athens. Read on",bring owls to Athens
64,anything but,Meaning: by no means,"Example: We went to see that new action
film on Thursday night and it was anything
but good, in fact, I fell asleep. Read on","anything
but"
65,square peg in a round hole,Meaning: a person who doesn't fit into societies norm,Example: How he got the job I will never know. He's like a square peg in a round hole. Read on,square peg in a round hole
66,hit or miss,Meaning: something is arranged in a haphazard fashion,"Example: ""Have you tried the new bar on the corner? We've been three times and it's a bit hit and miss. Read on",hit and miss
67,silver lining,"Meaning: sadness or unpleasant things
can have a positive side effect","Example: If it's the tough time in your life, it comes with many silver linings. Read on",silver linings
68,in the air,Meaning: something like a mood that everybody can feel,Example: You could feel the tension in the air as everyone waited to hear the announcement. Read on,in the air
69,make light of,Meaning: to treat something as if it isn't important ,Example: You need to stop making light of this situation. You could be in serious trouble. Read on,making light
70,through thick and thin,"Meaning: under all conditions, no matter how challenging or difficult",Example: My best friend has supported me through thick and thin. Read on,through thick and thin
71,in no time﻿,Meaning: a very short period of time ,Example: I completed the project in no time at all. Read on,in no time
72,throw down the gauntlet﻿,Meaning: to accept a challenge,"Example: When it comes to the rights of animals, we are always willing to throw down the gauntlet. Read on",throw down the gauntlet
73,way forward,"Meaning: the only
way to succeed ",Example: I believe that digital learning is the way forward. Read on,way forward
74,on edge,"Meaning: to feel
tense or unable to relax",Example: I am sorry for snapping at you. I have been a bit on edge since I found out that they are selling our company. Read on,on edge
75,a smooth sea never made a skilled sailor,"Meaning: a proverb that means easy situations can never
improve you or make you better","Example: You are just cutting days in the comfort of your home and spending your parents' money. You need to really get out and face the actual life. Remember, a smooth sea has never made a skilled sailor. Read on",a smooth sea has never made a skilled sailor
76,drain the swamp﻿,Meaning: rooting out the practice of corruption ,"Example: No matter how critical it is, Draining the swamps would be just about impossible unless we citizens take action against it in the union. Read on",Draining the swamps
77,ride high,Meaning: when someone is very successful,Example: Our team won four college tournaments in a row this year! Why wouldn't the team be riding high! Read on,riding high
78,at odds,"Meaning: to disagree
about something ",Example: They are at odds about the fundraiser that I being held on Saturday. Read on,at odds
79,under siege,"Meaning: to be under
attack ",Example: The president came under siege for his radical decisions. Read on,under siege
80,have no business﻿,"Meaning: to do something that you should not
be doing ",Example: You have no business discussing my personal life with your friends. Read on,have no business
81,take heart﻿,Meaning: to stay confident and positive,Example: We lost the elections - it is a part of the game. But we absolutely take heart in the apparently greater awareness and involvement of the young generation in keeping the spirit of democracy. Read on,take heart
82,rake over the coals,"Meaning: drag over
the coals",Example: My classmate Lily forgot doing her maths homework as she had a function to attend in her family. The teacher literally raked her over the coals for that. Read on,raked her over the coals 
83,stand in a good stead,Meaning: to be of advantage to someone,Example: His years of experience in the spoken English field has stood him in good stead. Read on,stood him in good stead
84,smack dab,Meaning: exactly,"Example: We got our water balloons fully filled and threw smack dab at their heads. It was fun, I tell you! Read on",smack dab
85,get a life,"Meaning: to stop wasting a lot of time in useless or
boring or trivial works","Example: You are working over 100 hours a week, dude, get a life! Read on",get a life
86,throw under the bus,"Meaning: to betray a partner, colleague or close friend for self-benefits",Example: Mark always looks for someone to blame and throw under the bus for his failings. Read on,throw under the bus
87,cold sweat,"Meaning: the condition where extreme fear or nervousness
causes a person to feel a chill along with moist skin or sweat","Example: I woke up from a nightmare, breathing heavy and in cold sweat. Read on",cold sweat
88,on the horizon,Meaning: an event that is most likely going to happen soon ,Example: I have seen the way your boss praises your work. I am sure that a promotion is on the horizon. Read on,on the horizon
89,wild goose chase,Meaning: wasting resource working on something that does not exist,Example: They tampered with my research. Thank God I found it out. I'm sure they were hoping to send me on a wild goose chase as I continue my research. Read on,wild goose chase
90,kick the can down the road,Meaning: to avoid dealing with a problem ,Example: I realise that the house needs to be painted but we are going to move in a few years so I am kicking the can down the road. Read on,kicking the can down the road
91,pat on the back,"Meaning: to
receive or express praise for a job well done",Example: He received a pat on the back from his boss from the new project that he landed. Read on,pat on the back
92,heart touching,Meaning: an event that makes you feel happy ,Example: We watched a heart-touching movie about a boy who lived next to a concentration camp during the Second World War. Read on,heart-touching
93,tick off,"Meaning: to make a
mark next to items on a list that have been completed ","Example: I would
like to tick off some more items on
my list before going home. Read on",tick off
94,mull over,"Meaning: to take a long time to make a
decision ",Example: I will need to mull things over before I decide whether or not to start my own business. It is a big decision. Read on,mull things over
95,right away,Meaning: to do something immediately ,Example: I promise to complete my homework right away. Read on,right away
96,turn out,Meaning: to arrive at an event ,Example: They had fewer people turn out for their party than they anticipated. Read on,turn out
97,for a while,"Meaning: a short
period of time ","Example: I will be able to sit with you for a while, but I need to get home soon. Read on",for a while
98,bring up,"Meaning: in the literal form, it means to take something to a higher place ",Example: Please bring up some more blankets when you come to bed. Read on,bring up
99,come out,"Meaning: to reveal
something (often unintentionally) ","Example: I didn't mean to tell him about your job interview, it just came out. Read on",came out
100,turn over a new leaf,"Meaning: to alter
your behaviour in a positive way ",Example: He has not been in trouble this year. He has really turned over a new leaf. Read on,turned over a new leaf
101,get through,"Meaning: to make it
to the end of a particularly arduous or stressful experience ",Example: I didn't think we would get through the last week of exams. Read on,get through
102,vim and vigor,Meaning: full of energy and enthusiasm,"Example: Even though my grandmother is in her 80s, she is still full of vim and vigor. Read on",vim and vigor
103,buy the farm,Meaning: to die ,Example: Mister Jack was really ill from the past two months and yesterday he bought the farm. Read on,bought the farm
104,a fish out of water,Meaning: being uncomfortable and restless,"Example: Our new teacher looked like a fish out of the water, nobody was aware of the issue. Read on",a fish out of the water
105,bucket list,Meaning: a list of achievements or experiences someone wants to have during their lifetime,"Example: Go and buy some sweaters, I have many other
things left on my bucket list. Read on",bucket list
106,on the tip of my tongue,Meaning: something like a name or word that you know it but cannot remember at a particular moment,"Example: It won't take me much time to remember, her name is on the tip of my tongue. Read on",on the tip of my tongue
107,from the bottom of my heart,Meaning: with sincere and deep feeling,Example: I am really happy with the new job and I mean that from the bottom of my heart. Read on,from the bottom of my heart
108,light years away,Meaning: when something seems unlikely to happen,Example: The technological advancement like flying cars is light years away. Read on,light years away
109,you can lead a horse to water but you can’t make him drink,Meaning: we can offer good things to people but we can't force them to accept that,"Example: I have tried my level best to educate him well, but he is still having a non-serious behavior, you can lead a horse to water, but you can't make him drink. Read on","you can lead a horse to water, but you can't make him drink"
110,lion’s share,Meaning: the biggest part of something,Example: Karen always keeps a lion's share – I won't work with her anymore. Read on,lion's share
111,knock out,Meaning: knockout,Example: Does your brother really think that he can knock out the biggest guy in school? I would like to see him try. Read on,knock out
112,mad at,"Meaning: to be angry at a person or
situation ",Example: I am so mad at Jane because she broke my favourite pair of earrings. I told her not to borrow my things. Read on,mad at
113,screw up,Meaning: slang depicting that a mistake was made,"Example: I really screwed up this time. My wife will
never forgive me for forgetting her birthday. Read on",screwed up
114,aftermath,"Meaning: the effects
of something traumatic ",Example: A lot of countries sent help in the aftermath of the earthquake. Read on,aftermath
115,white lie,Meaning: a harmless lie,"Example: Telling your friend that you like their new haircut, when you really don't, is an example of a white lie. Read on",white lie
116,take for a ride,"Meaning: to trick
somebody ","Example: I paid for
the package but it was never delivered. After two weeks I realized that I had
been taken for a ride. Read on",taken for a ride
117,get to know,"Meaning: receiving
the information","Example: It took me a while to get to know my in-laws and
understanding their lifestyle. Read on",get to know
118,green with envy,Meaning: extremely jealous of another person,Example: Sally was green with envy when he saw my brand new car. Read on,green with envy
119,pep talk,"Meaning: a
motivational speech","Example: Last night, I met Sara for a pep talk because I had my interview the very next day. Read on",pep talk
120,like a bat out of hell,Meaning: very fast and crazily,"Example: When Sara told Sam that there is a ghost living next to their room, he changed the room like a bat out of hell. Read on",like a bat out of hell
121,trouble shared is trouble halved,Meaning: a trouble shared is a trouble halved,"Example: Don't hesitate to share your problems with me.
After all, a problem shared is a problem
halved. Read on","a problem shared is a problem
halved"
122,all roads lead to Rome,"Meaning: all the routes are directed towards
the center",Example: Take any route of your choice because all roads lead to Rome. Read on,all roads lead to Rome
123,knock socks off,"Meaning: doing something which was never done
before",Example: Lara's performance at the concert last night just knocked my socks off. Read on,knocked my socks off
124,apples to oranges,"Meaning: the items that cannot be compared with each
other",Example: We cannot compare Sara and Salina. They are apples and oranges. Read on,apples and oranges
125,seventh heaven,Meaning: being glad,Example: Nicole Kidman was in seventh heaven when she received the award for the best actress. Read on,seventh heaven
126,heavy heart,Meaning: attaining a state of grief,"Example: With a heavy
heart, we had to leave the funeral ceremony. Read on","heavy
heart"
127,lighten up,Meaning: to take it easy,Example: Just lighten up! Everything will be fine. Read on,lighten up
128,crack up,"Meaning: go
through an emotional breakdown",Example: The entire group cracked up at the joke of their teacher. Read on,cracked up
129,troubled waters,Meaning: a difficult phase of life,"Example: The situation was getting worse, but like all the other members of the company, he was fascinated by troubled waters. Read on",troubled waters
130,live wire,Meaning: an energetic and volatile person,Example: John is such a live wire; he is a good source of entertainment. Read on,live wire
131,long run,Meaning: in the long run,"Example: To make this project successful in the long run, they will need more partners. Read on",in the long run
132,Black Friday,Meaning: a day of a financial disaster,Example: My friends wait desperately for online sales on Black Friday. Read on,Black Friday
133,get the wrong end of the stick,Meaning: to understand something in the wrong way,"Example: When Jack and Taylor arrived at the award function together, everyone got the wrong end of the stick. Read on",got the wrong end of the stick
134,get on nerves,Meaning: tick someone off,Example: Put your mobile phone in a silent mode - its loud ringtone is getting on my nerves. Read on,getting on my nerves
135,mind your own business,Meaning: to look into your own matter,Example: I would like you to mind your own business and stop telling me what to do. Read on,mind your own business
136,good grief,Meaning: occurrence of something shocking,"Example: Good grief, is she going to kick her brother in front of the entire school? This is really shocking for me. Read on",Good grief
137,the lion’s den,Meaning: a place which is uncomfortable,Example: Two of the new students were thrown into the lion's den as their ragging was taking place. Read on,the lion's den
138,miles away,Meaning: unaware of the current situation ,"Example: Just by reading her facial expressions, I can easily tell you that she is miles away. Read on",miles away
139,make a mountain out of a molehill,Meaning: magnifying the content,"Example: You are just making a mountain out of a molehill, you just gave a wrong answer, it doesn't mean you're not going to qualify to the second round. Read on",making a mountain out of a molehill
140,dead as a doornail,Meaning: becoming obsolete,Example: The flowers are all dead as a doornail. Read on,dead as a doornail
141,dead in the water,Meaning: unable to produce movement,Example: Their company is trying to revive an income that is dead in the water. Read on,dead in the water
142,rule out,Meaning: to exclude out something,Example: Rule out each and every word from the application which you don’t want the principal to read. Read on,Rule out
143,as a result,Meaning: the outcome of something that you have done.,"Example: As a result of this mishap, he was not on work for a week. Read on",As a result
144,spend a fortune,Meaning: spend a small fortune,Example: Do not spend a fortune on the gifts to make others happy. Read on,spend a fortune
145,black day,Meaning: it is a day on which something terrible has happened,Example: My grandmother told me that it is a black day tomorrow. Read on,black day
146,fake it till you make it,Meaning: portray yourself like the person you always wanted to become,Example: I had no idea that her family is so illiterate as she always pretended to be classy. Fake it till you make it. Read on,Fake it till you make it
147,"six of one, half a dozen of the other",Meaning: comparison between the two things which are identical,"Example: If I go north or south, I will turn up at the same location. It is six of one, half dozen of the other. Read on","six of one, half dozen of the other"
148,out of business,Meaning: out of operational conditions,"Example: If we keep on selling our goods at the same price, we will soon go out of business. Read on",out of business
149,against the grain,Meaning: a difficult path to be followed,Example: It is against the grain for me to tackle dishonest people. Read on,against the grain
150,music to ears,Meaning: something that is soothing to your ears,Example: Our teacher told us that we will get a long summer break and this was just music to my ears. Read on,music to my ears
151,apples to apples,Meaning: having a fair comparison between the two things,Example: To find out who is stronger is the apples to apples measure their capability to win the first prize in the field of Olympics. Read on,apples to apples
152,by chance,Meaning: something which was not planned to happen,Example: He told himself that it was by chance so as to bring peace to his mind. Read on,by chance
153,take for granted,Meaning: to underestimate the value of something or someone,Example: I took the weather for granted when I lived in America. Now I am struggling to get used to the cold. Read on,for granted
154,mind your own beeswax,Meaning: do not interfere into someone else's matter,"Example: I am not asking for your opinion, mind your own beeswax. Read on",mind your own beeswax
155,walking on air,Meaning: to be very happy (elated),Example: I have been walking on air since I found out that I have been awarded a scholarship to study music. Read on,walking on air
156,lean towards,Meaning: to be interested in something,Example: I am not sure which couch would look best in our house. I am leaning towards the blue one. What do you think? Read on,leaning towards
157,chill pill,Meaning: something that has a relaxing outcome,Example: Can someone please tell Matthew to take a chill pill? We will be on time for the party. Read on,chill pill
158,bundle up,Meaning: to dress warmly to protect oneself from the elements,Example: It is important to bundle up before you go out to keep from getting cold. Read on,bundle up
159,set off,Meaning: to start a journey,Example: We would like to set off for Paris by 10 o'clock tomorrow morning. Read on,set off
160,catch up,"Meaning: to get to the same level, standard, or status as something or someone",Example: Singapore is trying so hard to catch up with Japan when it comes to technological advancements. Read on,catch up
161,you’re on,Meaning: used to accept a challenge or bet,Example: Max: I challenge you to join me in my 100km run this month. Samuel: You're on! Read on,You're on
162,put the brakes on,Meaning: to stop or slow down an activity,Example: The economic situation is not looking good because of Brexit and this making the Prime Minister put the brakes on international investments. Read on,put the brakes on
163,easy does it,"Meaning: used to tell someone to go ahead with something with slowly, and carefully","Example: Sandra: I asked him for a simple drawing! To be honest, I am so angry right now. Andrew: Easy does it, Sandra. We will make sure he refunds the money. Read on",Easy does it
164,mark my words,Meaning: used to let someone know to pay attention to what you are saying because it is very important especially when you are certain something would happen in future,"Example: Mark my words, she won't regret taking me up on my offer. Read on",Mark my words
165,pie in the sky,Meaning: used to portray or refer to something that is lovely to consider however is probably not going to happen,Example: Her dream of wanting to move to London to become a famous singer is a pie in the sky if you ask me. Read on,pie in the sky
166,Easter egg,Meaning: a decorated or dyed egg usually given to children at Easter,"Example: While scrolling down the menu of Grand Theft Auto V, I happened upon an Easter egg. Read on",Easter egg
167,out of the frying pan into the fire,Meaning: to go from a bad to worse situation,"Example: In a bid to gain independence, she agreed to get married early, not knowing she was jumping out of the frying pan into the fire. Read on",out of the frying pan into the fire
168,act of God,Meaning: an occurrence of out of control natural forces in action,Example: No matter how strong you are but you can't stop the acts of God. Read on,acts of God
169,toot one’s own horn,Meaning: blow one's own horn,Example: My father told me never to toot my own horn. Read on,toot my own horn
170,fast food,Meaning: food that is tasty but has less or no nutritional value is referred to as fast food,Example: Nina loves French fries and other fast food. Read on,fast food
171,on a roll,Meaning: making a lot of progress,Example: Our team has won eleven out of our twelve matches this season. We are on a roll. Read on,on a roll
172,ward off,Meaning: to prevent something from harming you,Example: Our government has doubled the number of soldiers at the border to ward off illegal immigrants. Read on,ward off
173,drop by,Meaning: an informal visit,Example: I hope to finish the dress before Saturday. If you want to see what it looks like you should drop by over the weekend. Read on,drop by
174,broken heart,Meaning: break someone's heart,"Example: I know he broke your heart, but there are other boys out there who are better than him. Read on",broke your heart
175,blind as a bat,Meaning: unconscious to something,"Example: Maria is so in love, she is as blind as a bat when it comes to Mark’s rude behavior. Read on",as blind as a bat
176,in a fog,Meaning: in a great confusion,Example: Jane always seems to be in a fog. Read on,in a fog
177,dollars to donuts,Meaning: an outcome that is almost assured is called as dollars to doughnuts,Example: And I'll bet dollars to donuts that he will have no strategic plan on how to effectively deny Clinton's speech. Read on,dollars to donuts
178,fair-weather friend,Meaning: used to refer a friend who is not reliable in difficult times,"Example: Simran is looking for a loyal friend, not a fair-weather friend. Read on",fair-weather friend
179,under fire,Meaning: being shot at,Example: The politician came under fire after it was discovered that he had spend campaign money on lavish parties. Read on,under fire
180,first light,Meaning: the time when the light begins to appear in the morning,Example: The search for the missing children will continue at first light. Read on,first light
181,"once bitten, twice shy",Meaning: a bad experience cause to believe caution,"Example: I will never work with Peter again. He expects everyone to do the work on his behalf, once bitten twice shy. Read on",once bitten twice shy.
182,kick the habit,Meaning: to overcome an addiction especially of an addiction like drugs,"Example: Even after trying so hard, I could not kick the habit of drinking. Read on",kick the habit
183,make ends meet,Meaning: make sufficient money to survive on,Example: We will need to start saving money in order to make ends meet. Read on,make ends meet
184,head above water,Meaning: to succeed to survive in bad financial situations,Example: I have to work 60 hours a week just to keep my head above water. I don't know how people do it. Read on,head above water
185,up and about,Meaning: to get out of the bed actively after sleep,Example: He was up and about within a few days of the operation. Read on,up and about
186,free spirit,Meaning: a person who freely lives a life of his own way,"Example: His wife is a free spirit, she does not believe in the work that we do. Read on",free spirit
187,keep the wolf from the door,Meaning: to have sufficient money to prevent starvation or hunger,Example: Both the man and his wife must work long hours just to keep the wolf from the door. Read on,keep the wolf from the door
188,so to speak,Meaning: as it where,"Example: I will tell you what is going on but only because you are already family, so to speak. Read on",so to speak
189,stands to reason,Meaning: to reach a logical conclusion,Example: The company stands to reason that the project will take at least another six months to conclude given that none of the managers have a better grip on the work. Read on,stands to reason
190,up to no good,Meaning: to have an evil plan,Example: The children can be up to no good cooped up in that attic together for two hours. You must go up and check. Read on,up to no good
191,zip it,Meaning: to ask someone to shut up,Example: The teacher had asked the class to zip it but today everybody seemed to want to talk a lot. So she punished the entire class. Read on,zip it
192,in vain,Meaning: without success,Example: It seems as if the merger will go through and all our hard work has been in vain. Read on,in vain
193,sleep tight,Meaning: an affectionate way of wishing someone a good night's sleep,"Example: I am going to bed now. Good night, sleep tight. Read on",sleep tight
194,on your mark,Meaning: absolutely accurate,"Example: Runners, please get ready. On your mark, get set, go! Read on",On your mark
195,too close to call,Meaning: a margin that is too close to determine a winner,Example: There are only a few minutes left in the match and it is too close to call. Read on,too close to call
196,the devil is beating his wife,Meaning: raining whereas the sun is shining,"Example: Today, the devil is beating his wife in our city - it's raining cats and dog and sun is also shining. Read on",the devil is beating his wife
197,when hell freezes over,"Meaning: impolite way of saying ""it will never happen""","Example: I guess, she will forgive you when hell freezes over. Read on",when hell freezes over
198,all that glitters is not gold,Meaning: the shining outer look of something is not a consistent sign of its real character,Example: My grandmother advised me to be careful about making new friends because all that glitters is not gold. Read on,all that glitters is not gold
199,forty winks,"Meaning: sleep for a while, mostly during the day",Example: The bank manager caught the security guard while taking forty winks on duty. Read on,taking forty
200,Elvis has left the building,Meaning: the show is ended and go home now,Example: I think we delayed coming - Elvis has left the building. Read on,Elvis has left the building
201,famous last words,Meaning: a comment or a prophecy that is expected to be proved incorrect,"Example: I was thinking that I will not have dinner today. Famous last words, I am very hungry. Read on",Famous last words
202,sense of humour,Meaning: the ability to enjoy funniness,"Example: I appreciate the fact that you have a sense of humour, but we need to be serious now. Read on",sense of humour
203,a stitch in time saves nine,"Meaning: do not wait to deal with a specific problem or you risk it getting
much worse later on","Example: John said to his brother, "" You better bring your car to the shop
while it's still running, because a stitch in time saves nine. Read on",a stitch in time saves nine
204,other half,"Meaning: husband, wife, or partner of someone",Example: Next time I come to this restaurant I will bring my other half. Read on,other half
205,for a song,Meaning: incredibly inexpensive,Example: She bought those lovely shoes at a flea market for a song. Read on,for a song
206,not at all,"Meaning: a polite response when someone says ""thank you"" - as a synonym for ""you're welcome""",Example: Thank you so much for helping with my move. Not at all. Read on,Not at all
207,beat the heat,Meaning: finding a way to stay cool when it is very hot outside,Example: I have found that drinking a cool glass of water helps to beat the heat in summer. Read on,beat the heat
208,make do,Meaning: to cope with something even though the circumstances are not ideal,Example: I will make do without all of the research and send you a proposal by the end of the day. Read on,make do
209,leg it,Meaning: an informal way of telling someone to run in order to evade capture,Example: We were trespassing on their property. When the alarm went off we had to leg it or we would be caught. Read on,leg it
210,snow under,Meaning: to bury or cover something or somebody in snow (Literal meaning),Example: I feel snowed under with all the work my boss keeps throwing my way. Read on,snowed under
211,last long,Meaning: existing or persevering for a significant amount of time,Example: The debate on whether man and woman were created equal has been long-lasting and significant. Read on,long-lasting
212,next of kin,Meaning: close relative,Example: We cannot release the names of the soldiers killed at the battle of Normandy until we've informed their next of kin. Read on,next of kin
213,fall from grace,"Meaning: to lose status, respect or prestige",Example: The Economic and Finance minister's fall from grace gave her detractors great satisfaction. Read on,fall from grace
