,idiom,meaning,example,idiomatic_part
55,touch off,Meaning: to ignite a thought,Example: The presentation touched off a very important point and I would like to spend some time talking about it. Read on,touched off
56,eat like a horse,Meaning: to eat a lot,Example: He eats like a horse - there's never enough left for everyone else once he's been at the buffet. Read on,eats like a horse
57,time flies,Meaning: for a particular phase in life to seem shorter than it really was,Example: Time flies when I go to play with friends. Read on,Time flies
58,in the cross hairs,Meaning: in a position where one might receive severe criticism,Example: The man was in the cross hairs from the very beginning of the interrogation. Read on,in the cross hairs
59,pay the piper,Meaning: to bear the ill-effects of something that was enjoyable at one time,Example: The man controlled every aspect of his wife's life until he was asked to pay the piper. Read on,pay the piper.
60,rub the wrong way,Meaning: to tick someone off,Example: The guy has rubbed me in such a wrong way that I do not even want to look at him ever again. Read on,rubbed me in such a wrong way
61,you can’t make an omelette without breaking a few eggs,Meaning: to have to go through something seemingly not nice for a good result,Example: The course requires a lot of effort on your part. It is true that you can't make an omelette without breaking a few eggs. Read on,you can't make an omelette without breaking a few eggs
62,forbidden fruit is always the sweetest,Meaning: to desire something that is not within a feasible reach,Example: The guy thinks that the forbidden fruit is always the sweetest and keeps asking her out even though she has refused him several times. I seem to think that this is becoming unhealthy and obsessive. Read on,the forbidden fruit is always the sweetest
63,"out of sight, out of mind",Meaning: to not stay an active issue when something is not immediately visible,"Example: The company's top managers do not consider these government policy changes and important for their strategic planning. It is out of sight, out of mind for them but that is not a good thing in any way. Read on","out of sight, out of mind"
64,ignorance is bliss,Meaning: to not get affected by something that is not known,Example: The farmers were using these pesticides in their fields without even considering the harmful effects it has on the land. Ignorance is bliss. Read on,Ignorance is bliss
65,"if you scratch my back, I’ll scratch yours",Meaning: to return a favour for a favour,"Example: The government cannot expect any progress in the society with a ""if you scratch my back, I'll scratch yours"" attitude. Read on","if you scratch my back, I'll scratch yours"
66,no news is good news,"Meaning: to assume that since there is no news, it will not be bad news",Example: The exam results are not yet out and I feel no news is good news. Read on,no news is good news
67,tip of the iceberg,Meaning: to only know a very small part of the problem,Example: The manager-employee problems in this company are just the tip of the iceberg. Read on,tip of the iceberg
68,hands are tied,Meaning: to not be able to do anything about a situation,"Example: The manager tried his best to explain the situation after such a terrible mess created by the employee in the account. In the end, his hands were tied and he had to fire the staff members responsible for the mistake. Read on",hands were tied
69,money doesn’t grow on trees,Meaning: to have to put an effort in earning money,"Example: The kids need to understand that even though they have been born with a silver spoon in their mouths, that money doesn't grow on trees. Read on",money doesn't grow on trees
70,learn to walk before you run,Meaning: to take smaller steps initially,Example: The plan will gradually get the company the revenue that they need to sustain in this market but you need to learn to walk before you run. Read on,learn to walk before you run.
71,"if it ain’t broke, don’t fix it",Meaning: to not try to mend things that do not require it,"Example: Their marriage does not need a councillor. You should keep out and if it ain't broke, don't fix it. Read on","if it ain't broke, don't fix it."
72,still waters run deep,Meaning: to have passion or furore underneath a calm expression,"Example: Though he rarely speaks in class, still waters run deep. Read on",still waters run deep
73,first things first,Meaning: to have a priority order,"Example: The deal is on but first things first, let's discuss how the remuneration for the work will be done. Read on",first things first
74,it’s better to be safe than sorry,Meaning: being careful may keep away unpleasant situation,Example: They have taught their kids to play any sport only after wearing its gear because it is better to be safe than sorry. Read on,better to be safe than sorry
75,look before you leap,Meaning: to make sure that everything is alright before doing something important which you cannot revert,Example: You better check out the costs that you will have to incur through the duration of this lawsuit before filling it. It is always better to look before you leap. Read on,look before you leap
76,"where there’s a will, there’s a way",Meaning: willpower will defeat any difficulty,"Example: The man drove through eight countries in his car. It is true, where there is a will, there is a way.  Read on","where there is a will, there is a way. "
77,many hands make light work,Meaning: to come together for a cause,Example: The workers gathered when the company was facing financial trouble to raise capital and proved that many hands make light work. Read on,many hands make light work
78,strike while the iron is hot,Meaning: to take advantage of a situation,"Example: The study plans were such that it required you to read when your mind was fresh, strike while the iron is hot. Read on",strike while the iron is hot
79,too many cooks spoil the broth,Meaning: to mean that something does not go well when there are too many ways to do it,Example: The company management had 11 decision makers. No wonder it closed operations since too many cooks spoil the broth. Read on,too many cooks spoil the broth
80,absence makes the heart grow fonder,Meaning: to miss and love someone more when they are not around,Example: The couple reunited after almost a year and understood that the absence had made their hearts grow fonder. Read on,absence had made their hearts grow fonder
81,honesty is the best policy,Meaning: being honest is always good and fruitful,"Example: The company has high moral standards and has the words ""honesty is the best policy"" written all over its premises. Read on",honesty is the best policy
82,grass is always greener on the other side,Meaning: to think that other's part is better than mine,Example: The lawyer always thought that the grass is greener on the other side and left his profession to become an MBA graduate. Guess what? He is still struggling to find a job. Read on,grass is greener on the other side
83,two heads are better than one,Meaning: to have more than one participant in an activity to make it better,Example: The company engaged with another marketing consultant because it is an important project and two heads are better than one. Read on,two heads are better than one
84,familiarity breeds contempt,Meaning: to start disliking something when one gets to know too much about it,Example: The couple could not stay together long after their wedding because familiarity breeds contempt. Read on,familiarity breeds contempt
85,there’s no time like the present,Meaning: right now is the best time,Example: The master chef always told me that there's no time like the present to start working on your signature dish. Read on,there's no time like the present
86,all good things must come to an end,"Meaning: everything that is deemed nice, ends",Example: The band breaking up was a terrible things but I guess all good things must come to an end. Read on,all good things must come to an end
87,beggars can’t be choosers,Meaning: do not ask more or customize what you get when you have got it after asking for it,Example: In this village you are only going to get these many options for furniture. Learn to live it because beggars can't be choosers. Read on,beggars can't be choosers
88,a watched pot never boils,Meaning: if you wait for something to happen it takes longer,Example: I kept waiting for hours near my phone but there was no news from my daughter from the war zone yet because a watched pot never boils. Read on,a watched pot never boils
89,God helps those who help themselves,Meaning: to be able to come out of a bad situation by self-help rather than hoping for divine intervention,Example: The businessman refused to help you this time because he realized that you run to him every time you have the slightest difficulty. Please remember that he has a business to run and God helps only those who help themselves. Read on,God helps only those who help themselves
