,idiom,meaning,example,idiomatic_part
56,on the tip of my tongue,Meaning: something like a name or word that you know it but cannot remember at a particular moment,"Example: It won't take me much time to remember, her name is on the tip of my tongue. Read on",on the tip of my tongue
57,from the bottom of my heart,Meaning: with sincere and deep feeling,Example: I am really happy with the new job and I mean that from the bottom of my heart. Read on,from the bottom of my heart
58,light years away,Meaning: when something seems unlikely to happen,Example: The technological advancement like flying cars is light years away. Read on,light years away
59,you can lead a horse to water but you can’t make him drink,Meaning: we can offer good things to people but we can't force them to accept that,"Example: I have tried my level best to educate him well, but he is still having a non-serious behavior, you can lead a horse to water, but you can't make him drink. Read on","you can lead a horse to water, but you can't make him drink"
60,lion’s share,Meaning: the biggest part of something,Example: Karen always keeps a lion's share – I won't work with her anymore. Read on,lion's share
61,knock out,Meaning: knockout,Example: Does your brother really think that he can knock out the biggest guy in school? I would like to see him try. Read on,knock out
62,mad at,"Meaning: to be angry at a person or
situation ",Example: I am so mad at Jane because she broke my favourite pair of earrings. I told her not to borrow my things. Read on,mad at
63,screw up,Meaning: slang depicting that a mistake was made,"Example: I really screwed up this time. My wife will
never forgive me for forgetting her birthday. Read on",screwed up
64,aftermath,"Meaning: the effects
of something traumatic ","Example: A lot of
countries sent help in the aftermathof the earthquake. Read on",aftermath
65,white lie,Meaning: a harmless lie,"Example: Telling your friend that you like their new haircut, when you really don't, is an example of a white lie. Read on",white lie
66,take for a ride,"Meaning: to trick
somebody ","Example: I paid for
the package but it was never delivered. After two weeks I realized that I had
been taken for a ride. Read on",taken for a ride
67,get to know,"Meaning: receiving
the information","Example: It took me a while to get to know my in-laws and
understanding their lifestyle. Read on",get to know
68,green with envy,Meaning: extremely jealous of another person,Example: Sally was green with envy when he saw my brand new car. Read on,green with envy
69,pep talk,"Meaning: a
motivational speech","Example: Last night, I met Sara for a pep talk because I had my interview the very next day. Read on",pep talk
70,like a bat out of hell,Meaning: very fast and crazily,"Example: When Sara told Sam that there is a ghost living next to their room, he changed the room like a bat out of hell. Read on",like a bat out of hell
71,trouble shared is trouble halved,Meaning: a trouble shared is a trouble halved,"Example: Don't hesitate to share your problems with me.
After all, a problem shared is a problem
halved. Read on","a problem shared is a problem
halved"
72,all roads lead to Rome,"Meaning: all the routes are directed towards
the center",Example: Take any route of your choice becauseall roads lead to Rome. Read on,all roads lead to Rome
73,knock socks off,"Meaning: doing something which was never done
before",Example: Lara's performance at the concert last night just knocked my socks off. Read on,knocked my socks off
74,apples to oranges,"Meaning: the items that cannot be compared with each
other",Example: We cannot compare Sara and Salina. They are apples and oranges. Read on,apples and oranges
75,seventh heaven,Meaning: being glad,Example: Nicole Kidman was in seventh heaven when she received the award for the best actress. Read on,seventh heaven
76,heavy heart,Meaning: attaining a state of grief,"Example: With a heavy
heart, we had to leave the funeral ceremony. Read on","heavy
heart"
77,lighten up,Meaning: to take it easy,Example: Just lighten up! Everything will be fine. Read on,lighten up
78,crack up,"Meaning: go
through an emotional breakdown",Example: The entire group cracked up at the joke of their teacher. Read on,cracked up
79,troubled waters,Meaning: a difficult phase of life,"Example: The situation was getting worse, but like all the other members of the company, he was fascinated by troubled waters. Read on",troubled waters
80,live wire,Meaning: an energetic and volatile person,Example: John is such a live wire; he is a good source of entertainment. Read on,live wire
81,long run,Meaning: in the long run,"Example: To make this project successful in the long run, they will need more partners. Read on",in the long run
82,Black Friday,Meaning: a day of a financial disaster,Example: My friends wait desperately for online sales on Black Friday. Read on,Black Friday
83,get the wrong end of the stick,Meaning: to understand something in the wrong way,"Example: When Jack and Taylor arrived at the award function together, everyone got the wrong end of the stick. Read on",got the wrong end of the stick
84,get on nerves,Meaning: tick someone off,Example: Put your mobile phone in a silent mode - its loud ringtone is getting on my nerves. Read on,getting on my nerves
85,mind your own business,Meaning: to look into your own matter,Example: I would like you to mind your own business and stop telling me what to do. Read on,mind your own business
86,good grief,Meaning: occurrence of something shocking,"Example: Good grief, is she going to kick her brother in front of the entire school? This is really shocking for me. Read on",Good grief
87,the lion’s den,Meaning: a place which is uncomfortable,Example: Two of the new students were thrown into the lion's den as their ragging was taking place. Read on,the lion's den
88,miles away,Meaning: unaware of the current situation ,"Example: Just by reading her facial expressions, I can easily tell you that she is miles away. Read on",miles away
89,make a mountain out of a molehill,Meaning: magnifying the content,"Example: You are just making a mountain out of a molehill, you just gave a wrong answer, it doesn't mean you're not going to qualify to the second round. Read on",making a mountain out of a molehill
90,dead as a doornail,Meaning: becoming obsolete,Example: The flowers are all dead as a doornail. Read on,dead as a doornail
91,dead in the water,Meaning: unable to produce movement,Example: Their company is trying to revive an income that is dead in the water. Read on,dead in the water
92,rule out,Meaning: to exclude out something,Example: Rule out each and every word from the application which you don’t want the principal to read. Read on,Rule out
93,as a result,Meaning: the outcome of something that you have done.,"Example: As a result of this mishap, he was not on work for a week. Read on",As a result
94,spend a fortune,Meaning: spend a small fortune,Example: Do not spend a fortune on the gifts to make others happy. Read on,spend a fortune
95,black day,Meaning: it is a day on which something terrible has happened,Example: My grandmother told me that it is a black day tomorrow. Read on,black day
96,fake it till you make it,Meaning: portray yourself like the person you always wanted to become,Example: I had no idea that her family is so illiterate as she always pretended to be classy. Fake it till you make it. Read on,Fake it till you make it
97,"six of one, half a dozen of the other",Meaning: comparison between the two things which are identical,"Example: If I go north or south, I will turn up at the same location. It is six of one, half dozen of the other. Read on","six of one, half dozen of the other"
98,out of business,Meaning: out of operational conditions,"Example: If we keep on selling our goods at the same price, we will soon go out of business. Read on",out of business
99,against the grain,Meaning: a difficult path to be followed,Example: It is against the grain for me to tackle dishonest people. Read on,against the grain
